ID,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability,AgeGroup,Duration of credit,Credit Amount Group
591,poor,12,existing  credits paid back duly till now,furniture/equipment,1331,poor,less than 1  year,moderate,male,single,0,less than 1 year,saving,22,none,own,1,skilled,0,0,1,Bad,Youth,within 2 year,less than 2k
592,poor,21,existing  credits paid back duly till now,furniture/equipment,3976,none,4 to 7 years,moderate,male,single,0,4 to 7 years,saving,35,none,own,1,skilled,0,1,1,Good,Adult,within 2 year,middle
593,no account,36,other bank,new car,3535,poor,4 to 7 years,most,male,single,0,more than 7 years,saving,37,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
594,poor,24,existing  credits paid back duly till now,furniture/equipment,4057,poor,4 to 7 years,moderate,male,single,0,4 to 7 years,saving,43,none,own,1,skilled,0,1,1,Bad,Old.Adult,more than 2 year,middle
595,Negative,15,existing  credits paid back duly till now,furniture/equipment,1845,poor,less than 1  year,most,female,married,1,less than 1 year,insurance,46,none,rent,1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
596,no account,24,existing  credits paid back duly till now,furniture/equipment,1413,poor,1 to 4 years,most,male,married,0,1 to 4 years,insurance,28,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,less than 2k
597,Negative,36,other bank,education,8065,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,none,25,none,own,more than 1,office,0,1,1,Bad,Adult,more than 2 year,middle
598,Negative,8,other bank,new car,713,poor,more than 7 years,most,male,single,0,more than 7 years,property,47,none,own,more than 1,unskilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
599,Negative,24,existing  credits paid back duly till now,furniture/equipment,1603,poor,more than 7 years,most,female,married,0,more than 7 years,saving,55,none,own,1,skilled,0,0,1,Good,Old.Adult,more than 2 year,less than 2k
600,Negative,24,existing  credits paid back duly till now,furniture/equipment,3234,poor,less than 1  year,most,female,married,0,more than 7 years,property,23,none,rent,1,unskilled,0,1,1,Bad,Youth,more than 2 year,middle
601,no account,18,other bank,furniture/equipment,1582,rich,more than 7 years,most,male,single,0,more than 7 years,saving,46,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
602,no account,15,existing  credits paid back duly till now,used car,3812,moderate,less than 1  year,less,female,married,0,more than 7 years,saving,23,none,own,1,skilled,0,1,1,Good,Youth,within 2 year,middle
603,no account,15,all credits at this bank paid back duly,furniture/equipment,1569,moderate,more than 7 years,most,male,single,0,more than 7 years,saving,34,bank,own,1,unskilled,1,0,1,Good,Adult,within 2 year,less than 2k
604,Negative,24,other bank,business,1382,moderate,4 to 7 years,most,male,single,0,less than 1 year,property,26,none,own,more than 1,skilled,0,1,1,Good,Adult,more than 2 year,less than 2k
605,rich,15,existing  credits paid back duly till now,business,2687,poor,4 to 7 years,moderate,male,single,0,more than 7 years,insurance,26,none,rent,1,skilled,0,1,1,Good,Adult,within 2 year,middle
606,rich,24,other bank,business,1275,rich,1 to 4 years,moderate,male,single,0,more than 7 years,property,36,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,more than 2 year,less than 2k
607,no account,12,existing  credits paid back duly till now,furniture/equipment,1736,poor,4 to 7 years,moderate,female,married,0,more than 7 years,property,31,none,own,1,unskilled,0,0,1,Good,Adult,within 2 year,less than 2k
608,Negative,60,existing  credits paid back duly till now,business,7297,poor,more than 7 years,most,male,single,1,more than 7 years,none,36,none,rent,1,skilled,0,0,1,Bad,Old.Adult,more than 2 year,middle
609,no account,9,other bank,new car,2134,poor,1 to 4 years,most,male,single,0,more than 7 years,saving,48,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 1 year,middle
610,Negative,36,existing  credits paid back duly till now,new car,3249,poor,4 to 7 years,moderate,male,single,0,more than 7 years,none,39,bank,free,1,office,1,1,1,Good,Old.Adult,more than 2 year,middle
611,poor,8,existing  credits paid back duly till now,furniture/equipment,1237,poor,1 to 4 years,moderate,female,married,0,more than 7 years,property,24,none,own,1,skilled,0,0,1,Bad,Youth,within 1 year,less than 2k
612,no account,9,existing  credits paid back duly till now,domestic appliances,1236,poor,less than 1  year,less,female,married,0,more than 7 years,property,23,none,rent,1,skilled,0,1,1,Good,Youth,within 1 year,less than 2k
613,Negative,15,existing  credits paid back duly till now,furniture/equipment,1053,poor,less than 1  year,most,male,married,0,1 to 4 years,property,27,none,own,1,skilled,0,0,0,Good,Adult,within 2 year,less than 2k
614,no account,12,existing  credits paid back duly till now,used car,1413,rich,4 to 7 years,moderate,male,single,0,1 to 4 years,insurance,55,none,own,1,skilled,0,0,0,Good,Old.Adult,within 2 year,less than 2k
615,no account,12,existing  credits paid back duly till now,furniture/equipment,886,none,1 to 4 years,most,female,married,0,1 to 4 years,saving,21,none,own,1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
616,no account,6,existing  credits paid back duly till now,furniture/equipment,1346,moderate,more than 7 years,moderate,male,single,0,more than 7 years,none,42,bank,free,1,skilled,1,1,1,Good,Old.Adult,within 1 year,less than 2k
617,no account,10,existing  credits paid back duly till now,furniture/equipment,2210,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,25,none,rent,1,unskilled,0,0,1,Bad,Adult,within 1 year,middle
618,no account,12,existing  credits paid back duly till now,furniture/equipment,2073,moderate,1 to 4 years,most,female,married,1,1 to 4 years,property,28,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
619,poor,36,delay history,new car,2225,poor,more than 7 years,most,male,single,0,more than 7 years,none,57,bank,free,more than 1,skilled,0,1,1,Bad,Old.Adult,more than 2 year,middle
620,poor,11,existing  credits paid back duly till now,furniture/equipment,1577,rich,less than 1  year,most,female,married,0,less than 1 year,property,20,none,own,1,skilled,0,0,1,Good,Youth,within 1 year,less than 2k
621,Negative,36,existing  credits paid back duly till now,furniture/equipment,3959,poor,unemployed,most,male,single,0,4 to 7 years,insurance,30,none,own,1,office,0,1,1,Good,Adult,more than 2 year,middle
622,rich,15,other bank,furniture/equipment,1271,none,1 to 4 years,moderate,male,single,0,more than 7 years,none,39,none,free,more than 1,skilled,0,1,1,Bad,Old.Adult,within 2 year,less than 2k
623,poor,12,existing  credits paid back duly till now,furniture/equipment,625,poor,less than 1  year,most,male,married,1,less than 1 year,property,26,bank,own,1,unskilled,0,0,1,Good,Adult,within 2 year,less than 2k
624,no account,60,other bank,new car,13756,none,more than 7 years,moderate,male,single,0,more than 7 years,none,63,bank,free,1,office,0,1,1,Good,Old.Adult,more than 2 year,more than 10k
625,no account,18,other bank,new car,1055,poor,less than 1  year,most,female,married,0,less than 1 year,insurance,30,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
626,no account,36,delay history,used car,8947,none,4 to 7 years,moderate,male,single,0,1 to 4 years,saving,31,stores,own,1,office,1,1,1,Good,Adult,more than 2 year,middle
627,poor,6,delay history,new car,1209,poor,unemployed,most,male,single,0,more than 7 years,insurance,47,none,own,1,office,0,1,1,Bad,Old.Adult,within 1 year,less than 2k
628,no account,24,existing  credits paid back duly till now,furniture/equipment,1552,poor,4 to 7 years,moderate,male,single,0,less than 1 year,saving,32,bank,own,1,skilled,1,0,1,Good,Adult,more than 2 year,less than 2k
629,Negative,24,delay history,new car,4870,poor,1 to 4 years,moderate,male,single,0,more than 7 years,none,53,none,free,more than 1,skilled,1,0,1,Bad,Old.Adult,more than 2 year,middle
630,poor,60,existing  credits paid back duly till now,new car,14027,poor,4 to 7 years,most,male,single,0,1 to 4 years,none,27,none,own,1,office,0,1,1,Bad,Adult,more than 2 year,more than 10k
631,rich,30,delay history,business,1908,poor,more than 7 years,most,male,single,0,more than 7 years,property,66,none,own,1,office,0,1,1,Bad,Old.Adult,more than 2 year,less than 2k
632,poor,7,existing  credits paid back duly till now,furniture/equipment,2576,poor,1 to 4 years,moderate,male,single,1,1 to 4 years,property,35,none,own,1,skilled,0,0,0,Good,Adult,within 1 year,middle
633,poor,6,all credits at this bank paid back duly,education,433,rich,less than 1  year,most,female,married,0,1 to 4 years,insurance,24,bank,rent,1,skilled,1,0,1,Bad,Youth,within 1 year,less than 2k
634,no account,18,existing  credits paid back duly till now,new car,6761,none,1 to 4 years,moderate,male,single,0,more than 7 years,saving,68,stores,rent,more than 1,skilled,0,0,1,Bad,Old.Adult,within 2 year,middle
635,poor,24,existing  credits paid back duly till now,new car,3512,moderate,4 to 7 years,moderate,male,single,0,4 to 7 years,saving,38,bank,own,more than 1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
636,no account,24,delay history,business,2978,none,1 to 4 years,most,male,single,0,more than 7 years,property,32,none,own,more than 1,skilled,1,1,1,Good,Adult,more than 2 year,middle
637,poor,36,existing  credits paid back duly till now,furniture/equipment,2323,poor,4 to 7 years,most,male,single,0,more than 7 years,saving,24,none,rent,1,skilled,0,0,1,Good,Youth,more than 2 year,middle
638,Negative,30,existing  credits paid back duly till now,furniture/equipment,6350,none,more than 7 years,most,male,single,0,more than 7 years,insurance,31,none,own,1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
639,poor,6,other bank,education,932,none,4 to 7 years,less,female,married,0,4 to 7 years,insurance,39,none,own,more than 1,unskilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
640,no account,12,existing  credits paid back duly till now,new car,2859,none,unemployed,most,male,single,0,more than 7 years,none,38,none,own,1,office,0,1,1,Good,Old.Adult,within 2 year,middle
641,poor,12,existing  credits paid back duly till now,new car,685,poor,4 to 7 years,moderate,male,married,0,4 to 7 years,saving,25,bank,own,1,unskilled,0,0,1,Bad,Adult,within 2 year,less than 2k
642,poor,18,existing  credits paid back duly till now,business,1913,rich,less than 1  year,moderate,male,married,0,4 to 7 years,property,36,bank,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
643,Negative,21,existing  credits paid back duly till now,furniture/equipment,1835,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,property,25,none,own,more than 1,skilled,0,1,1,Bad,Adult,within 2 year,less than 2k
644,Negative,6,existing  credits paid back duly till now,new car,1374,none,unemployed,most,female,married,0,4 to 7 years,insurance,75,none,own,1,office,0,1,1,Good,Old.Adult,within 1 year,less than 2k
645,Negative,18,existing  credits paid back duly till now,furniture/equipment,1882,poor,1 to 4 years,most,female,married,0,more than 7 years,saving,25,bank,rent,more than 1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
646,no account,24,existing  credits paid back duly till now,furniture/equipment,2284,poor,4 to 7 years,most,male,single,0,1 to 4 years,saving,28,none,own,1,skilled,0,1,1,Good,Adult,more than 2 year,middle
647,rich,6,delay history,furniture/equipment,683,poor,less than 1  year,moderate,female,married,0,less than 1 year,insurance,29,bank,own,1,skilled,0,0,1,Good,Adult,within 1 year,less than 2k
648,no account,10,existing  credits paid back duly till now,new car,1287,none,more than 7 years,most,male,single,1,1 to 4 years,insurance,45,none,own,1,unskilled,0,0,0,Good,Old.Adult,within 1 year,less than 2k
649,Negative,15,existing  credits paid back duly till now,new car,2511,poor,unemployed,less,female,married,0,more than 7 years,saving,23,none,rent,1,skilled,0,0,1,Good,Youth,within 2 year,middle
650,no account,6,other bank,furniture/equipment,1237,moderate,1 to 4 years,less,female,married,0,less than 1 year,insurance,27,none,own,more than 1,skilled,0,0,1,Good,Adult,within 1 year,less than 2k
651,no account,24,existing  credits paid back duly till now,new car,2255,none,less than 1  year,most,male,single,0,less than 1 year,insurance,54,none,own,1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
652,no account,24,other bank,repairs,5507,poor,more than 7 years,moderate,male,single,0,more than 7 years,none,44,none,free,more than 1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
653,no account,24,existing  credits paid back duly till now,new car,1393,poor,1 to 4 years,moderate,male,single,1,1 to 4 years,property,31,none,own,1,skilled,0,1,1,Good,Adult,more than 2 year,less than 2k
654,no account,24,existing  credits paid back duly till now,new car,7393,poor,1 to 4 years,less,male,single,0,more than 7 years,insurance,43,none,own,1,unskilled,1,0,1,Good,Old.Adult,more than 2 year,middle
655,Negative,18,existing  credits paid back duly till now,furniture/equipment,2389,poor,less than 1  year,most,female,married,0,less than 1 year,saving,27,stores,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
656,poor,24,delay history,furniture/equipment,2064,poor,unemployed,moderate,female,married,0,1 to 4 years,insurance,34,none,own,1,office,0,1,1,Bad,Adult,more than 2 year,middle
657,no account,15,existing  credits paid back duly till now,furniture/equipment,2708,poor,less than 1  year,moderate,male,single,0,4 to 7 years,insurance,27,bank,own,more than 1,unskilled,0,0,1,Good,Adult,within 2 year,middle
658,no account,18,delay history,furniture/equipment,2320,poor,unemployed,moderate,male,married,0,4 to 7 years,property,34,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,middle
659,poor,24,existing  credits paid back duly till now,furniture/equipment,5084,none,more than 7 years,moderate,female,married,0,more than 7 years,saving,42,none,own,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
660,Negative,12,existing  credits paid back duly till now,furniture/equipment,3590,poor,1 to 4 years,moderate,male,single,1,1 to 4 years,insurance,29,none,own,1,unskilled,1,0,1,Good,Adult,within 2 year,middle
661,Negative,48,no credits taken/ all credits paid back duly,used car,4605,poor,more than 7 years,moderate,male,single,0,more than 7 years,none,24,none,free,more than 1,skilled,1,0,1,Bad,Youth,more than 2 year,middle
662,no account,15,other bank,furniture/equipment,1459,poor,1 to 4 years,most,female,married,0,1 to 4 years,saving,43,none,own,1,unskilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
663,rich,24,other bank,furniture/equipment,3617,none,more than 7 years,most,male,single,1,more than 7 years,none,20,none,rent,more than 1,skilled,0,0,1,Good,Youth,more than 2 year,middle
664,no account,5,existing  credits paid back duly till now,business,3448,poor,4 to 7 years,less,male,single,0,more than 7 years,property,74,none,own,1,unskilled,0,0,1,Good,Old.Adult,within 1 year,middle
665,no account,15,existing  credits paid back duly till now,furniture/equipment,1386,none,1 to 4 years,most,male,married,0,1 to 4 years,property,40,none,rent,1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
666,no account,18,other bank,furniture/equipment,1169,none,1 to 4 years,most,male,single,0,4 to 7 years,insurance,29,none,own,more than 1,skilled,0,1,1,Good,Adult,within 2 year,less than 2k
667,no account,7,delay history,furniture/equipment,846,none,more than 7 years,moderate,male,single,0,more than 7 years,none,36,none,free,1,skilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
668,Negative,36,other bank,furniture/equipment,6229,poor,less than 1  year,most,female,married,1,more than 7 years,none,23,none,rent,more than 1,unskilled,0,1,1,Bad,Youth,more than 2 year,middle
669,no account,12,other bank,furniture/equipment,717,poor,more than 7 years,most,male,single,0,more than 7 years,property,52,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
670,no account,60,existing  credits paid back duly till now,new car,6527,none,1 to 4 years,most,male,single,0,more than 7 years,none,34,none,free,1,skilled,1,1,1,Good,Adult,more than 2 year,middle
671,Negative,24,all credits at this bank paid back duly,furniture/equipment,1546,poor,4 to 7 years,most,male,single,1,more than 7 years,saving,24,bank,rent,1,unskilled,0,0,1,Bad,Youth,more than 2 year,less than 2k
672,rich,18,existing  credits paid back duly till now,new car,1961,poor,more than 7 years,moderate,female,married,0,1 to 4 years,saving,23,none,own,1,office,0,0,1,Good,Youth,within 2 year,less than 2k
673,no account,10,existing  credits paid back duly till now,used car,2848,moderate,1 to 4 years,less,male,single,1,1 to 4 years,property,32,none,own,1,skilled,1,0,1,Good,Adult,within 1 year,middle
674,Negative,12,existing  credits paid back duly till now,furniture/equipment,2578,poor,unemployed,moderate,female,married,0,more than 7 years,none,55,none,free,1,office,0,0,1,Good,Old.Adult,within 2 year,middle
675,no account,12,existing  credits paid back duly till now,used car,4675,none,less than 1  year,less,female,married,0,more than 7 years,saving,20,none,rent,1,skilled,0,0,1,Good,Youth,within 2 year,middle
676,poor,36,existing  credits paid back duly till now,furniture/equipment,9034,moderate,less than 1  year,most,male,single,1,less than 1 year,none,29,none,rent,1,office,0,1,1,Bad,Adult,more than 2 year,middle
677,no account,12,existing  credits paid back duly till now,education,719,poor,more than 7 years,most,male,single,0,more than 7 years,saving,41,bank,own,1,unskilled,1,0,1,Bad,Old.Adult,within 2 year,less than 2k
678,no account,24,existing  credits paid back duly till now,furniture/equipment,2835,moderate,more than 7 years,moderate,male,single,0,more than 7 years,insurance,53,none,own,1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
679,no account,36,existing  credits paid back duly till now,used car,4686,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,none,32,none,free,1,office,0,1,1,Good,Adult,more than 2 year,middle
680,poor,30,all credits at this bank paid back duly,furniture/equipment,3496,rich,1 to 4 years,most,male,single,0,1 to 4 years,saving,34,stores,own,1,skilled,1,1,1,Good,Adult,more than 2 year,middle
681,no account,12,other bank,education,2012,none,4 to 7 years,most,female,married,0,1 to 4 years,saving,61,none,own,1,skilled,0,0,1,Good,Old.Adult,within 2 year,middle
682,no account,18,other bank,education,1864,moderate,1 to 4 years,most,female,married,0,1 to 4 years,property,30,none,own,more than 1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
683,poor,36,no credits taken/ all credits paid back duly,furniture/equipment,3804,poor,1 to 4 years,most,female,married,0,less than 1 year,saving,42,none,own,1,skilled,0,1,1,Bad,Old.Adult,more than 2 year,middle
684,poor,24,no credits taken/ all credits paid back duly,business,4241,poor,1 to 4 years,less,male,single,0,more than 7 years,property,36,none,own,more than 1,unskilled,0,1,1,Bad,Old.Adult,more than 2 year,middle
685,rich,24,other bank,furniture/equipment,3148,none,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,31,none,own,more than 1,skilled,0,1,1,Good,Adult,more than 2 year,middle
686,Negative,24,existing  credits paid back duly till now,new car,2303,poor,more than 7 years,most,male,single,1,less than 1 year,property,45,none,own,1,skilled,0,0,1,Bad,Old.Adult,more than 2 year,middle
687,Negative,6,existing  credits paid back duly till now,used car,1352,moderate,unemployed,less,female,married,0,1 to 4 years,insurance,23,none,rent,1,unemployed,0,1,1,Good,Youth,within 1 year,less than 2k
688,rich,12,existing  credits paid back duly till now,furniture/equipment,1881,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,saving,44,none,rent,1,unskilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
689,no account,18,existing  credits paid back duly till now,furniture/equipment,1473,poor,less than 1  year,moderate,male,married,0,more than 7 years,property,39,none,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
690,poor,30,existing  credits paid back duly till now,furniture/equipment,1715,none,1 to 4 years,most,female,married,0,less than 1 year,saving,26,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,less than 2k
691,poor,24,other bank,other,11938,poor,1 to 4 years,moderate,male,single,1,4 to 7 years,saving,39,none,own,more than 1,office,1,1,1,Bad,Old.Adult,more than 2 year,more than 10k
692,rich,15,existing  credits paid back duly till now,furniture/equipment,2327,poor,less than 1  year,moderate,female,married,0,4 to 7 years,property,25,none,own,1,unskilled,0,0,1,Bad,Adult,within 2 year,middle
693,poor,6,existing  credits paid back duly till now,furniture/equipment,484,poor,4 to 7 years,moderate,male,married,1,4 to 7 years,property,28,bank,own,1,unskilled,0,0,1,Good,Adult,within 1 year,less than 2k
694,rich,9,existing  credits paid back duly till now,furniture/equipment,1126,moderate,more than 7 years,moderate,male,single,0,more than 7 years,property,49,none,own,1,skilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
695,no account,60,existing  credits paid back duly till now,new car,10366,poor,more than 7 years,moderate,male,single,0,more than 7 years,insurance,42,none,own,1,office,0,1,1,Good,Old.Adult,more than 2 year,more than 10k
696,Negative,6,existing  credits paid back duly till now,furniture/equipment,1374,poor,1 to 4 years,less,male,single,0,1 to 4 years,property,36,bank,own,1,unskilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
697,Negative,36,other bank,used car,9629,poor,4 to 7 years,most,male,single,0,more than 7 years,saving,24,none,own,more than 1,skilled,0,1,1,Bad,Youth,more than 2 year,middle
698,poor,20,delay history,other,2629,poor,1 to 4 years,moderate,male,single,0,4 to 7 years,saving,29,bank,own,more than 1,skilled,0,1,1,Good,Adult,within 2 year,middle
699,Negative,6,existing  credits paid back duly till now,new car,14896,poor,more than 7 years,less,male,single,0,more than 7 years,none,68,bank,own,1,office,0,1,1,Bad,Old.Adult,within 1 year,more than 10k
700,Negative,12,other bank,new car,3499,poor,1 to 4 years,moderate,female,married,1,1 to 4 years,property,29,none,own,more than 1,skilled,0,0,1,Bad,Adult,within 2 year,middle
701,no account,9,existing  credits paid back duly till now,new car,2507,moderate,more than 7 years,moderate,male,single,0,more than 7 years,none,51,none,free,1,unskilled,0,0,1,Good,Old.Adult,within 1 year,middle
702,poor,48,no credits taken/ all credits paid back duly,business,3844,moderate,4 to 7 years,most,male,single,0,more than 7 years,none,34,none,free,1,unskilled,1,0,1,Bad,Adult,more than 2 year,middle
703,poor,48,existing  credits paid back duly till now,new car,8487,none,4 to 7 years,less,female,married,0,1 to 4 years,saving,24,none,own,1,skilled,0,0,1,Good,Youth,more than 2 year,middle
704,rich,6,other bank,new car,1299,poor,1 to 4 years,less,male,single,0,less than 1 year,property,74,none,own,more than 1,unemployed,1,0,0,Good,Old.Adult,within 1 year,less than 2k
705,Negative,12,existing  credits paid back duly till now,new car,3651,rich,1 to 4 years,less,male,single,0,4 to 7 years,insurance,31,none,own,1,skilled,1,0,1,Good,Adult,within 2 year,middle
706,no account,24,existing  credits paid back duly till now,used car,7814,poor,4 to 7 years,moderate,male,single,0,4 to 7 years,saving,38,none,own,1,office,0,1,1,Good,Old.Adult,more than 2 year,middle
707,no account,24,other bank,used car,2197,none,4 to 7 years,most,male,single,0,more than 7 years,saving,43,none,own,more than 1,skilled,1,1,1,Good,Old.Adult,more than 2 year,middle
708,Negative,33,other bank,furniture/equipment,4281,moderate,1 to 4 years,less,female,married,0,more than 7 years,saving,23,none,own,more than 1,skilled,0,0,1,Bad,Youth,more than 2 year,middle
709,Negative,18,no credits taken/ all credits paid back duly,furniture/equipment,3114,poor,less than 1  year,less,female,married,0,more than 7 years,insurance,26,none,rent,1,skilled,0,0,1,Bad,Adult,within 2 year,middle
710,Negative,18,existing  credits paid back duly till now,furniture/equipment,1131,poor,unemployed,most,female,married,0,1 to 4 years,saving,33,none,own,1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
711,poor,24,existing  credits paid back duly till now,used car,4113,moderate,less than 1  year,moderate,female,married,0,more than 7 years,saving,28,none,rent,1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
712,no account,24,existing  credits paid back duly till now,furniture/equipment,2397,moderate,more than 7 years,moderate,male,single,0,1 to 4 years,saving,35,bank,own,more than 1,skilled,0,1,1,Bad,Adult,more than 2 year,middle
713,rich,10,existing  credits paid back duly till now,domestic appliances,1225,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,37,none,own,1,skilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
714,rich,24,existing  credits paid back duly till now,furniture/equipment,1377,moderate,more than 7 years,most,female,married,0,1 to 4 years,none,47,none,free,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,less than 2k
715,poor,24,other bank,furniture/equipment,4736,poor,less than 1  year,moderate,female,married,0,more than 7 years,saving,25,bank,own,1,unskilled,0,0,1,Bad,Adult,more than 2 year,middle
716,no account,24,other bank,furniture/equipment,3777,rich,1 to 4 years,most,male,single,0,more than 7 years,property,40,none,own,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
717,Negative,12,other bank,used car,1409,poor,more than 7 years,most,male,single,0,4 to 7 years,property,54,none,own,1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
718,poor,48,delay history,other,7582,moderate,unemployed,moderate,male,single,0,more than 7 years,none,31,none,own,1,office,0,1,1,Good,Adult,more than 2 year,middle
719,poor,24,delay history,business,4712,none,1 to 4 years,most,male,single,0,1 to 4 years,insurance,34,bank,own,more than 1,office,0,1,1,Good,Adult,more than 2 year,middle
720,no account,12,other bank,education,2748,poor,more than 7 years,moderate,female,married,0,more than 7 years,none,57,bank,free,more than 1,unskilled,0,0,1,Good,Old.Adult,within 2 year,middle
721,Negative,6,all credits at this bank paid back duly,education,1198,poor,more than 7 years,most,female,married,0,more than 7 years,none,35,none,free,1,skilled,0,0,1,Bad,Adult,within 1 year,less than 2k
722,poor,48,all credits at this bank paid back duly,business,6416,poor,more than 7 years,most,female,married,0,4 to 7 years,none,59,none,rent,1,skilled,0,0,1,Bad,Old.Adult,more than 2 year,middle
723,no account,11,other bank,furniture/equipment,1154,moderate,unemployed,most,female,married,0,more than 7 years,property,57,none,own,more than 1,unskilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
724,no account,24,other bank,furniture/equipment,5103,poor,less than 1  year,moderate,male,married,0,4 to 7 years,none,47,none,free,more than 1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
725,no account,33,other bank,used car,7253,poor,4 to 7 years,moderate,male,single,0,1 to 4 years,saving,35,none,own,more than 1,office,0,1,1,Good,Adult,more than 2 year,middle
726,poor,13,other bank,furniture/equipment,882,poor,less than 1  year,most,male,single,1,more than 7 years,property,23,none,own,more than 1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
727,no account,36,existing  credits paid back duly till now,business,7409,none,more than 7 years,moderate,male,single,0,1 to 4 years,insurance,37,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
728,no account,22,existing  credits paid back duly till now,new car,1283,none,4 to 7 years,most,female,married,0,more than 7 years,insurance,25,none,rent,1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
729,no account,24,existing  credits paid back duly till now,used car,6313,none,more than 7 years,moderate,male,single,0,more than 7 years,saving,41,none,own,1,office,1,1,1,Good,Old.Adult,more than 2 year,middle
730,Negative,39,other bank,furniture/equipment,14179,none,4 to 7 years,most,male,single,0,more than 7 years,insurance,30,none,own,more than 1,office,0,1,1,Good,Adult,more than 2 year,more than 10k
731,poor,12,existing  credits paid back duly till now,furniture/equipment,6468,none,unemployed,moderate,male,single,0,less than 1 year,none,52,none,own,1,office,0,1,1,Bad,Old.Adult,within 2 year,middle
732,no account,36,other bank,used car,5711,rich,more than 7 years,most,male,single,0,1 to 4 years,saving,38,none,own,more than 1,office,0,1,1,Good,Old.Adult,more than 2 year,middle
733,no account,42,other bank,furniture/equipment,4041,moderate,1 to 4 years,most,male,single,0,more than 7 years,property,36,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
734,Negative,6,other bank,new car,666,rich,4 to 7 years,moderate,female,married,0,more than 7 years,property,39,none,own,more than 1,unskilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
735,Negative,24,existing  credits paid back duly till now,furniture/equipment,2996,none,1 to 4 years,moderate,male,married,0,more than 7 years,saving,20,none,own,1,skilled,0,0,1,Bad,Youth,more than 2 year,middle
736,no account,12,other bank,new car,1495,poor,more than 7 years,most,male,single,0,less than 1 year,property,38,none,own,more than 1,unskilled,1,0,1,Good,Old.Adult,within 2 year,less than 2k
737,poor,30,existing  credits paid back duly till now,furniture/equipment,3441,moderate,1 to 4 years,moderate,female,married,1,more than 7 years,saving,21,bank,rent,1,skilled,0,0,1,Bad,Youth,more than 2 year,middle
738,poor,24,delay history,furniture/equipment,6403,poor,less than 1  year,less,male,single,0,1 to 4 years,saving,33,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
